Quantifier      Metric                      selectedModel                                   nAr*             r             R             Psi             Cd
dgbqa           Ar*         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           R         ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz              0.1933           1.0           3.7822           3.464           0.1384
dgbqa           psi         ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz                     0.1677           1.5           1.8064           2.1315           0.1262
dgbqa           r         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           Ar         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           ArCd         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           Ar_psi         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           Cd_psi         ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz                      0.1677           1.5           1.8064           2.1315           0.1262
dgbqa           euclid         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           corr         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           DCG         ms_hcn_1-1-pt5-multiStepmin3_ntu120.npz                         0.3186           1.0           3.2953           4.1555           0.1068
dgbqa           Kendall         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           ERR         ms_hcn_1-1-pt5-multiStepmin3_ntu120.npz                         0.3186           1.0           3.2953           4.1555           0.1068
dgbqa           U         ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz                 0.1933           1.0           3.7822           3.464           0.1384
dgbqa           GRE         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           infAp         ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           NegRel         ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz                   0.1999           1.5           1.7681           2.686           0.0918
